Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,2443
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,31670
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,,5370
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,,127
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,,1744
2014,All codes,All deaths,All deaths,Attributable number,,77800
2014,C00-D48,All cancers,All cancers,Attributable number,,37400
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,,23200
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,,16400
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,,800
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,,23100
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,,1400
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,,500
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,,4100
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,,100
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,,1700
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,,800
2014,C16,Stomach,Cancers which can be caused by smoking,Attributable number,,700
2014,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,,1700
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,,3000
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,,400
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,,1000
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,,18000
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,,4100
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,2800
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,7400
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,,400
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,,2700
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,,3100
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,,0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,,800
2014,All codes,All deaths,All deaths,Number of observed deaths,Male,223044
2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Male,123135
2014,C00-D48,All cancers,All cancers,Number of observed deaths,Male,72488
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Male,29921
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Male,63814
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Male,10942
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Male,15844
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Male,1490
2014,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Male,537
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Male,4270
2014,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Male,0
2014,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Male,3054
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Male,2228
2014,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Male,2320
2014,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Male,3710
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Male,4071
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Male,1294
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,751
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,11937
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,10315
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,9198
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,33725
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,1012
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,13135
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,3220
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,60
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Male,964
2014,All codes,All deaths,All deaths,Attributable number,Male,47000
2014,C00-D48,All cancers,All cancers,Attributable number,Male,23800
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,12300
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,10400
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,500
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,13700
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,1100
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,400
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,2900
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,0
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,1300
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,700
2014,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,600
2014,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,800
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2100
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,300
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,700
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,9300
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,2400
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,5100
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,200
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,2000
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,500
2014,All codes,All deaths,All deaths,Number of observed deaths,Female,236043
2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Female,112685
2014,C00-D48,All cancers,All cancers,Number of observed deaths,Female,63824
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Female,31823
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Female,62287
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Female,11393
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Female,12982
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Female,707
2014,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Female,116
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Female,2045
2014,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Female,660
2014,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Female,1443
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Female,1331
2014,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Female,1278
2014,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Female,3707
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Female,4361
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Female,959
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,438
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,11502
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,13074
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,12586
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,22533
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,1431
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,18535
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,2150
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,67
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Female,780
2014,All codes,All deaths,All deaths,Attributable number,Female,30800
2014,C00-D48,All cancers,All cancers,Attributable number,Female,13600
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,10800
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,6000
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,300
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,9400
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,300
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,100
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,1200
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,100
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,400
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,100
2014,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,100
2014,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,900
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,900
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,100
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,400
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,8800
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,1700
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1200
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,2300
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,200
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1100
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1200
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,300
2013,All codes,All deaths,All deaths,Number of observed deaths,,463986
2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,,241683
2013,C00-D48,All cancers,All cancers,Number of observed deaths,,134969
2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,,68891
2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,,129968
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,,22458
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,,28521
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,,2059
2013,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,,649
2013,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,,6324
2013,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,,663
2013,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,,4226
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,,3423
2013,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,,3733
2013,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,,7082
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,,8019
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,,2495
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,,1135
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,,24462
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,,24636
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,22901
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,59165
2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,2471
2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,32274
2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,,5448
2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,,158
2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,,1839
2013,All codes,All deaths,All deaths,Attributable number,,78200
2013,C00-D48,All cancers,All cancers,Attributable number,,36800
2013,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,,23800
2013,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,,16700
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,,900
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,,22800
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,,1300
2013,C32,Larynx,Cancers which can be caused by smoking,Attributable number,,500
2013,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,,4100
2013,C53,Cervical,Cancers which can be caused by smoking,Attributable number,,100
2013,C67,Bladder,Cancers which can be caused by smoking,Attributable number,,1600
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,,800
2013,C16,Stomach,Cancers which can be caused by smoking,Attributable number,,700
2013,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,,1600
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,,2800
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,,400
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,,1000
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,,18900
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,,4000
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,2900
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,7600
2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,,400
2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,,2500
2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,,3200
2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,,0
2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,,900
2013,All codes,All deaths,All deaths,Number of observed deaths,Male,223249
2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Male,124504
2013,C00-D48,All cancers,All cancers,Number of observed deaths,Male,71557
2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Male,32618
2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Male,64933
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Male,10760
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Male,15770
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Male,1360
2013,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Male,514
2013,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Male,4314
2013,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Male,.
2013,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Male,2831
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Male,2132
2013,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Male,2395
2013,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Male,3534
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Male,3817
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Male,1437
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,693
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,12418
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,10514
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,9509
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,34949
2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,1027
2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,12995
2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,3258
2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,77
2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Male,960
2013,All codes,All deaths,All deaths,Attributable number,Male,47200
2013,C00-D48,All cancers,All cancers,Attributable number,Male,23500
2013,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,12600
2013,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,10600
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,500
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,13600
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,1000
2013,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,400
2013,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,2900
2013,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,.
2013,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,1200
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,700
2013,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,600
2013,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,800
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2000
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,300
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,600
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,9700
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,2300
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,5200
2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,200
2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1500
2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,2000
2013,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,0
2013,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,500
2013,All codes,All deaths,All deaths,Number of observed deaths,Female,240737
2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Female,117179
2013,C00-D48,All cancers,All cancers,Number of observed deaths,Female,63412
2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Female,36273
2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Female,65035
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Female,11698
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Female,12751
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Female,699
2013,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Female,135
2013,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Female,2010
2013,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Female,663
2013,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Female,1395
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Female,1291
2013,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Female,1338
2013,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Female,3548
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Female,4202
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Female,1058
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,442
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,12044
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,14122
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,13392
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,24216
2013,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,1444
2013,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,19279
2013,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,2190
