Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,,6100
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,,2800
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,,7000
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,,5000
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,,93800
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,,42800
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,40200
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,57900
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,,6200
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,,16500
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,,7200
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,,2800
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,,11200
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,,6100
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,,2700
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,,16600
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,,6700
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,,500
2014/15,All codes,All admissions,All admissions,Number of admissions,Male,5141482
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,931001
2014/15,C00-D48,All cancers,All cancers,Number of admissions,Male,828031
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,300450
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,522587
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,719952
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47421
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,15583
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21400
2014/15,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3886
2014/15,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,0
2014/15,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,52109
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,10123
2014/15,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,13745
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,14470
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3546
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,25679
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,3131
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,58597
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,105107
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,161239
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,179220
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,22104
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,53512
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9461
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,8571
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,12000
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,17995
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2560
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,70169
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,19373
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Male,0
2014/15,All codes,All admissions,All admissions,Attributable number,Male,293000
2014/15,C00-D48,All cancers,All cancers,Attributable number,Male,108700
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,73400
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,91300
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,10000
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,40900
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,11100
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,14500
2014/15,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,3100
2014/15,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,0
2014/15,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,22100
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,3300
2014/15,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,3300
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,3100
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,1800
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,5400
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,2800
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,45600
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,25000
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,27500
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,42600
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,3500
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,9600
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,5800
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,2200
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,6100
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Male,2900
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Male,1100
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Male,7700
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Male,1900
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Male,0
2014/15,All codes,All admissions,All admissions,Number of admissions,Female,5870400
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Female,782329
2014/15,C00-D48,All cancers,All cancers,Number of admissions,Female,863004
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Female,310552
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Female,384570
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Female,740767
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Female,40987
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Female,6132
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Female,8303
2014/15,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Female,739
2014/15,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Female,6559
2014/15,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Female,16148
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Female,5303
2014/15,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Female,5380
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Female,12320
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Female,4699
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Female,17456
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Female,2749
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Female,63350
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Female,103652
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,130907
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,86294
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,15655
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Female,52420
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Female,2705
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Female,4686
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,11659
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,22278
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Female,4179
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Female,97720
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Female,48618
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,Female,11431
2014/15,All codes,All admissions,All admissions,Attributable number,Female,181600
2014/15,C00-D48,All cancers,All cancers,Attributable number,Female,49800
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,68200
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,39500
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,9900
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,29600
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,2900
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,4900
2014/15,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,500
2014/15,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,700
2014/15,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,4600
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,400
2014/15,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,600
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,3000
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,900
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,1600
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,2200
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,48200
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,17700
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,12700
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,15300
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,2700
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,6900
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1500
2014/15,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,500
2014/15,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,5100
2014/15,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,Female,3200
2014/15,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,Female,1600
2014/15,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,Female,9000
2014/15,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,Female,4800
2014/15,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,Female,500
2013/14,All codes,All admissions,All admissions,Number of admissions,,10602739
2013/14,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1634266
2013/14,C00-D48,All cancers,All cancers,Number of admissions,,1631637
2013/14,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,538994
2013/14,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,892712
2013/14,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1390104
2013/14,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,87633
2013/14,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,21304
2013/14,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,29447
2013/14,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4335
2013/14,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,7000
2013/14,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,73077
2013/14,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,14385
2013/14,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,19288
2013/14,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,24885
2013/14,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,8237
2013/14,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,40689
2013/14,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,5309
2013/14,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,112703
2013/14,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,172271
2013/14,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,281338
2013/14,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,270282
2013/14,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,41039
2013/14,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,105548
2013/14,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,12212
2013/14,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,,13038
2013/14,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,,22103
2013/14,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,,36895
2013/14,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,,6281
2013/14,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,,145191
2013/14,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,,68487
2013/14,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Number of admissions,,11289
2013/14,All codes,All admissions,All admissions,Attributable number,,454700
2013/14,C00-D48,All cancers,All cancers,Attributable number,,158800
2013/14,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,,125600
2013/14,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,,130800
2013/14,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,,18400
2013/14,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,,70000
2013/14,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,,13900
2013/14,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,,19300
2013/14,C32,Larynx,Cancers which can be caused by smoking,Attributable number,,3400
2013/14,C53,Cervical,Cancers which can be caused by smoking,Attributable number,,800
2013/14,C67,Bladder,Cancers which can be caused by smoking,Attributable number,,28800
2013/14,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,,3500
2013/14,C16,Stomach,Cancers which can be caused by smoking,Attributable number,,4000
2013/14,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,,5700
2013/14,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,,2800
2013/14,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,,6700
2013/14,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,,4500
2013/14,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,,86800
2013/14,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,,34300
2013/14,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,38800
2013/14,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,59400
2013/14,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,,6700
2013/14,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,,15900
2013/14,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,,7300
2013/14,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,,2800
2013/14,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,,10400
2013/14,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Attributable number,,5500
2013/14,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Attributable number,,2500
2013/14,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Attributable number,,14400
2013/14,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Attributable number,,6300
2013/14,O03,Spontaneous Abortion,Other diseases which can be caused by smoking,Attributable number,,400
2013/14,All codes,All admissions,All admissions,Number of admissions,Male,4976079
2013/14,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,Male,895456
2013/14,C00-D48,All cancers,All cancers,Number of admissions,Male,801355
2013/14,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,Male,269054
2013/14,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,Male,516221
2013/14,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,Male,690775
2013/14,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,Male,47072
2013/14,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,Male,15462
2013/14,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,Male,21328
2013/14,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,Male,3670
2013/14,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,Male,.
2013/14,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,Male,55902
2013/14,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,Male,9600
2013/14,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,Male,13738
2013/14,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,Male,13193
2013/14,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,Male,3565
2013/14,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,Male,24669
2013/14,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,Male,2870
2013/14,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,Male,54833
2013/14,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,Male,88485
2013/14,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,154479
2013/14,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,182281
2013/14,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,24030
2013/14,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,Male,52788
2013/14,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,Male,9471
2013/14,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of admissions,Male,8599
2013/14,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,11248
2013/14,K50,Crohns Disease,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,16194
2013/14,K05,Periodontal Disease / Periodonitis,Digestive diseases which can be caused caused by smoking,Number of admissions,Male,2446
2013/14,H25,Age Related Cataract 45+,Other diseases which can be caused by smoking,Number of admissions,Male,60551
2013/14,S72.0-S72.2,Hip Fracture 55+,Other diseases which can be caused by smoking,Number of admissions,Male,18982
